Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,On Hours,User Hours,Active Hours
Month,Student,Active,01/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,0.0,0.0
Month,Student,Active,12/01/21,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.73,0.37,0.37
Month,Student,Active,11/01/21,1.13,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.05,2.33,1.73
Month,Student,Active,10/01/21,4.0,1.5,1.25,0.85,0.25,0.58,0.55,0.55,0.47,0.95,0.73,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.82,54.12,12.12
Month,Student,Active,09/01/21,17.75,3.28,5.27,4.2,1.52,1.55,1.52,1.12,0.53,0.23,0.02,0.0,0.07,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.82,106.9,37.43
Month,Student,Active,08/01/21,32.28,23.78,16.42,6.82,2.33,1.13,1.23,0.23,0.07,0.02,0.17,0.13,0.12,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.15,192.22,84.82
Month,Student,Active,07/01/21,19.77,8.3,8.32,4.93,3.72,2.6,0.43,0.48,0.43,0.8,1.68,2.03,1.33,0.73,0.32,0.0,0.0,0.0,0.0,0.0,0.0,154.83,209.3,55.88
Month,Student,Active,06/01/21,5.7,4.05,0.93,2.18,1.87,1.15,0.88,0.12,0.22,0.12,0.17,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.33,54.03,17.42
Month,Student,Active,05/01/21,36.82,24.28,20.27,13.28,6.95,2.87,2.0,1.55,1.9,1.12,1.95,1.73,2.18,1.05,0.52,0.03,0.0,0.0,0.0,0.0,0.0,253.15,399.55,118.5
Month,Student,Active,04/01/21,10.1,7.4,6.38,4.15,1.87,1.95,1.73,1.07,1.07,1.2,1.32,1.55,2.28,1.38,0.65,0.0,0.0,0.0,0.0,0.0,0.0,120.23,215.83,44.1
Month,Student,Active,03/01/21,8.25,4.5,5.87,2.78,4.05,2.87,1.43,1.73,0.95,0.95,0.28,0.33,0.32,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.95,138.72,34.47
Month,Student,Active,02/01/21,2.35,3.17,1.8,1.85,0.65,0.4,0.45,0.47,2.07,1.03,1.42,1.47,3.18,3.63,1.5,0.0,0.0,0.0,0.0,0.0,0.0,105.52,210.88,25.43
Month,Student,Active,01/01/21,3.2,0.82,0.88,1.02,0.48,0.27,0.68,1.43,0.83,0.87,0.87,1.0,1.75,0.88,0.17,0.0,0.0,0.0,0.0,0.0,0.0,101.77,107.13,15.15
Month,Student,Active,12/01/20,0.33,2.1,0.3,0.1,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.78,8.67,3.4
