Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,On Hours,User Hours,Active Hours
Month,Student,Active,03/01/22,0.05,0.03,0.12,0.2,0.38,0.58,0.28,1.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,17.25,2.72
Month,Student,Active,02/01/22,3.52,0.98,1.47,0.28,0.42,0.72,1.13,1.53,2.7,4.3,1.73,2.25,1.02,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9,169.32,22.42
Month,Student,Active,01/01/22,0.6,0.48,0.85,1.68,1.2,1.63,2.05,2.93,2.93,2.18,2.22,0.55,0.48,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.45,153.23,20.03
Month,Student,Active,12/01/21,5.33,1.73,1.8,1.45,0.57,1.1,2.18,0.95,0.8,0.77,0.67,0.38,0.48,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.93,87.5,18.37
Month,Student,Active,11/01/21,10.08,8.4,7.45,5.87,6.62,7.25,5.63,5.23,3.85,2.2,1.48,2.08,1.38,0.32,0.02,0.0,0.0,0.0,0.0,0.0,0.0,98.33,351.22,67.87
Month,Student,Active,10/01/21,2.1,1.98,1.95,1.52,1.97,2.9,3.72,3.18,4.03,2.43,1.22,0.73,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.58,180.82,27.83
Month,Student,Active,09/01/21,0.58,0.65,0.42,0.45,2.02,1.27,2.98,1.28,2.42,2.53,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.82,109.28,15.37
Month,Student,Active,08/01/21,1.68,1.33,1.68,2.12,1.67,1.68,3.28,3.37,3.32,2.75,1.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.93,160.27,24.38
Month,Student,Active,07/01/21,0.52,0.73,1.72,3.38,3.5,1.23,2.82,0.37,0.12,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.33,69.43,14.4
Month,Student,Active,06/01/21,0.05,0.02,0.02,0.02,0.05,0.03,0.07,0.03,0.08,0.07,0.4,0.22,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,13.05,1.3
Month,Student,Active,05/01/21,4.6,1.95,5.25,1.03,3.32,1.05,0.55,2.48,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.93,88.78,21.77
Month,Student,Active,04/01/21,0.82,0.97,1.42,1.75,0.98,2.58,1.33,1.88,0.35,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.08,67.47,12.63
Month,Student,Active,03/01/21,1.35,1.02,0.78,0.82,1.23,2.47,0.98,0.88,2.92,1.53,1.1,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,105.8,15.77
Month,Student,Active,02/01/21,0.93,0.93,1.62,1.75,0.47,0.37,0.5,0.7,1.43,1.42,0.52,0.58,0.72,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.92,80.62,12.17
